Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
ljubljana b.,8,15,11,4,2.0,2.0,3,2.0,3.0,4.0,4.0,8.0
maribor,11,14,10,7,5.0,4.0,4,4.0,7.0,12.0,9.0,7.0
celje,14,16,13,5,6.0,5.0,3,5.0,7.0,7.0,10.0,13.0
trbovlje,12,20,25,9,9.0,10.0,16,9.0,19.0,17.0,12.0,16.0
hrastnik,12,15,17,8,4.0,8.0,8,13.0,10.0,10.0,11.0,10.0
zagorje,20,36,23,7,4.0,5.0,5,9.0,13.0,11.0,7.0,8.0
murska s.-rakičan,6,12,9,5,4.0,2.0,4,4.0,2.0,3.0,5.0,6.0
nova gorica,8,9,12,9,7.0,6.0,7,4.0,5.0,7.0,5.0,6.0
šoštanj,7,10,14,17,8.0,10.0,14,9.0,19.0,5.0,8.0,5.0
topolšica,6,7,7,3,3.0,5.0,6,4.0,7.0,4.0,5.0,3.0
veliki vrh,51,35,24,24,11.0,19.0,28,43.0,38.0,32.0,39.0,47.0
zavodnje,14,15,10,8,8.0,9.0,17,13.0,17.0,11.0,10.0,15.0
velenje,8,7,6,4,3.0,3.0,4,3.0,3.0,4.0,5.0,4.0
graška gora,6,9,9,7,4.0,6.0,5,7.0,8.0,3.0,6.0,6.0
pesje,8,11,9,5,3.0,4.0,6,4.0,5.0,4.0,5.0,3.0
škale,8,12,12,9,7.0,8.0,9,8.0,10.0,6.0,7.0,5.0
kovk,48,31,62,17,3.0,36.0,45,40.0,39.0,32.0,13.0,5.0
dobovec,66,25,28,4,1.0,22.0,40,43.0,24.0,14.0,6.0,2.0
kum,10,9,14,1,1.0,5.0,8,15.0,4.0,3.0,1.0,1.0
ravenska vas,61,191,98,34,18.0,25.0,16,15.0,17.0,17.0,11.0,15.0
vnajnarje,9,22,11,5,3.0,3.0,5,5.0,8.0,10.0,5.0,6.0
eis celje,6,7,5,1,1.0,0.0,1,0.0,0.0,,,4.0
eis krško,73,21,59,44,63.0,30.0,26,16.0,24.0,32.0,10.0,32.0
eis teb,7,14,15,12,,,15,,,5.0,,
